Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Brunei Darussalam,BRN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.352238,1.0153958,1.0479687,1.0993465,1.1115893,1.1147081,1.1198586,1.1203026,1.3123741,1.2633781,0.9587232,0.901649,0.9634698,1.2566861,1.2031979,1.0333017,1.0788022,1.1449838,1.0980607,1.1645233,1.1632013,1.175984
Bulgaria,BGR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.4296798,0.40517,0.1952399,0.0520694,0.3053882,0.3206462,0.3575005,0.4069274,0.3832438,0.3736482,0.3085567,0.3911291,0.1704694,0.242071,0.1823906,0.2073039,0.4061393,0.592909,0.5788167,0.4210468,0.4063981,0.3269733
Burkina Faso,BFA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.0927698,-0.2134057,0.0624282,-0.1499539,0.0426849,0.1098282,0.3576735,0.1570962,-0.0035975,-0.3146407,-0.6837156,-0.6478491,-0.7949543,-0.699829399999999,-0.6795154,-0.9073878,-0.855665599999999,-0.961889999999999,-1.19570659999999,-1.4159765,-1.5801637,-1.82102069999999
Burundi,BDI,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-2.50680379999999,-2.4576716,-2.4009377,-2.411696,-1.4998572,-1.2706416,-1.1429842,-1.4451741,-1.0572468,-1.6874837,-1.84318419999999,-1.9079102,-1.67571539999999,-1.06174299999999,-2.03645089999999,-2.106715,-2.0904201,-1.62367939999999,-1.66929629999999,-1.49526809999999,-1.37835589999999,-1.28089529999999
Cabo Verde,CPV,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.2012572,0.8035322,0.9080428,0.874642,0.859853,0.9522799,0.9138623,0.8489607,1.0097317,1.0110449,1.0171202,0.8408258,0.8049926,0.6455106,0.8435225,0.827822,0.7203252,0.8387813,0.8393375,0.839032,0.8339009,0.8359641
Cambodia,KHM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.0009785,-0.9341163,-0.9692824,-0.7441669,-0.659880799999999,-0.5438366,-0.5980652,-0.460177,-0.5824764,-0.3874276,-0.3236001,-0.377158799999999,-0.3707293,-0.2628078,-0.1585169,-0.0778582999999999,-0.153852799999999,-0.1054427,-0.1935314,-0.2401873,-0.1486895,-0.0739156
Cameroon,CMR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.5362139,-0.8576954,-0.646501099999999,-0.5565186,-0.3681294,-0.2662983,-0.3436526,-0.5919129,-0.4490608,-0.6655279,-0.743046299999999,-0.7987418,-0.831334199999999,-0.9216987,-1.0831153,-1.1424059,-1.1934513,-1.4691248,-1.6172731,-1.6215792,-1.57868299999999,-1.6950827
Canada,CAN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.2454208,1.1691336,1.08017,0.7763305,0.9387293,0.9917855,1.0422531,1.0954521,1.3795675,1.0176806,1.0765359,1.0932951,1.0153332,1.1626133,1.1827978,1.1623092,1.0192144,0.9371514,0.9041813,0.9455077,0.7604154,0.5074459
Cayman Islands,CYM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.7054045,0.7075823,0.702405,1.0685696,1.1812157,1.184192,1.1891071,1.1885017,1.3168772,1.246168,1.2412396,1.2407194,1.2391298,1.2758384,1.2746191,0.9743726,0.974877,0.978425,1.275357,1.2749256,1.4633939,1.4663069
Central African Republic,CAF,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.7988239,-1.9592333,-1.7807906,-1.50732509999999,-1.4370565,-1.72564379999999,-1.7222041,-1.7034314,-1.3308075,-1.71672009999999,-1.5684755,-1.8710274,-2.14915889999999,-2.4862537,-1.8904664,-1.698431,-1.82651039999999,-1.89363629999999,-1.85285369999999,-2.3306101,-2.1689304,-1.9022515
Chad,TCD,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.48813289999999,-1.73850059999999,-1.4914337,-1.5041461,-1.4912872,-1.7693476,-1.72178259999999,-1.8243844,-1.0699072,-1.08974669999999,-1.1533318,-1.1726684,-1.18913009999999,-1.3290695,-1.1227573,-1.34170719999999,-1.36771589999999,-1.3603311,-1.4521212,-1.4524146,-1.689273,-1.6491593
Chile,CHL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.5944803,0.9746238,0.7887047,0.635196,0.9212744,0.8696697,0.7570082,0.7488143,0.8581561,0.9018874,0.5996883,0.592861,0.574319,0.7184817,0.6780588,0.5937207,0.5894191,0.6742085,0.1657239,0.1362588,0.146317,-0.004406
