country_name,country_code,year,stunting_pct,gdp_per_capita,undernourishment_pct,water_access_pct,female_edu_pct,political_stability
Ecuador,ECU,2000,27.2,3953.39879728357,,61.5596332451054,56.5507011413574,-0.7547319
"Egypt, Arab Rep.",EGY,2000,25.9,2458.60835003016,,65.303047720147,75.2516632080078,-0.4457866
Euro area,EMU,2000,,30853.1385054093,,,103.415893554688,
Eritrea,ERI,2000,43.4,845.132430060544,,,37.1347503662109,-1.7330086
Spain,ESP,2000,,24106.8818529374,,99.3596106186302,,0.3156821
Estonia,EST,2000,2.1,10006.7696280939,,91.7274540437952,,0.9095174
Ethiopia,ETH,2000,56.9,247.505413659694,,5.35649608202387,11.7815504074097,-1.3044886
European Union,EUU,2000,,26365.7986774651,,,101.815292358398,
Fragile and conflict affected situations,FCS,2000,42.8615189498376,1295.212123623,,,28.9145698547363,
Finland,FIN,2000,2.2,37872.6020343504,,94.3756999998633,,1.6611776
Fiji,FJI,2000,6.0,3960.8890315,,39.2330499125542,77.9657592773438,0.2537645
France,FRA,2000,,33255.1379642335,,97.3558751348041,,0.8231818
Faroe Islands,FRO,2000,,,,,,
"Micronesia, Fed. Sts.",FSM,2000,,2724.42245620978,,,,
Gabon,GAB,2000,25.5,7596.09970650519,,,,0.3575739
United Kingdom,GBR,2000,3.6,39297.1366317267,,100.0,101.946479797363,1.097531
Georgia,GEO,2000,16.2,1561.19867638847,,59.4371455146853,80.0817413330078,-1.63455019999999
Ghana,GHA,2000,32.8,1022.27520714566,,14.3616135049129,28.9962100982666,-0.4701511
Gibraltar,GIB,2000,,,,100.0,103.35765838623,
Guinea,GIN,2000,33.1,614.137235083638,,,,-2.02533439999999
"Gambia, The",GMB,2000,27.7,659.911237641141,,23.2966488856964,,0.3153329
Guinea-Bissau,GNB,2000,33.4,571.094015178625,,17.6928467629465,12.7837495803833,-0.665042199999999
Equatorial Guinea,GNQ,2000,38.3,3839.08642737128,,,13.4011402130127,-0.0046267999999999
Greece,GRC,2000,2.2,18002.9064613985,,99.3736847493075,98.8526763916016,0.8235076
Grenada,GRD,2000,,6677.1265230922,,78.7187250849416,,0.690345
Greenland,GRL,2000,,31623.0591501943,,,,
Guatemala,GTM,2000,53.2,3165.9323746889,,49.8441407550865,29.3731899261475,-0.9180183
Guam,GUM,2000,,,,99.4735533221536,,
Guyana,GUY,2000,14.4,3759.60789699989,,62.7370085867764,,-0.735329799999999
High income,HIC,2000,4.5,30158.070077562,,92.7423491429683,99.3023223876953,
"Hong Kong SAR, China",HKG,2000,,26933.2377453994,,98.3669535559738,,1.1557388
Honduras,HND,2000,36.4,1789.47798512637,,41.7714222795011,,-0.364466399999999
Heavily indebted poor countries (HIPC),HPC,2000,45.3078717843749,679.180241236318,,,17.4969902038574,
Croatia,HRV,2000,,8880.26980689876,,85.1082253289099,,0.3448157
Haiti,HTI,2000,30.4,1342.89490450523,,,,-1.02629329999999
Hungary,HUN,2000,,8979.73578602949,,82.8485953862976,,1.004162
IBRD only,IBD,2000,32.6456533670575,2749.80831717138,,61.4631602425068,59.1121482849121,
IDA & IBRD total,IBT,2000,36.5520260697891,2339.75101446893,,55.5338375205116,51.056640625,
IDA total,IDA,2000,44.4354364868387,899.61428305683,,33.4678082776082,27.4466495513916,
IDA blend,IDB,2000,39.2822884975528,1294.78635186488,,35.7225255027735,26.0812206268311,
Indonesia,IDN,2000,39.8,1828.10265968361,,23.513695240414,55.1257095336914,-1.90520269999999
IDA only,IDX,2000,47.2231298465774,688.770584647754,,29.0421324115772,27.9010391235352,
Isle of Man,IMN,2000,,46274.9709691403,,,,
India,IND,2000,50.0,756.704109527449,,37.6400057360068,38.9118194580078,-0.9733951
Not classified,INX,2000,,,,,,
Ireland,IRL,2000,3.7,42599.4803921319,,75.3916136200507,,1.5185589
"Iran, Islamic Rep.",IRN,2000,14.8,3885.30183360649,,90.3926795738378,71.0602569580078,-0.6213951
Iraq,IRQ,2000,28.0,4172.78025105244,,50.240937492428,27.8302001953125,-1.35891419999999
Iceland,ISL,2000,,43472.3369863945,,90.1556052382149,112.418891906738,1.5565616
Israel,ISR,2000,,29413.4894578106,,99.7612247630893,,-0.8648943
Italy,ITA,2000,,32609.66746283,,94.7683796202225,,1.0781398
